試合日時,Season,Kind,Week,Day,GameNumber,主審,後攻チーム,先攻チーム,プレイの番号,回,表.裏,先攻得点,後攻得点,S,B,アウト,打席の継続,イニング継続,試合継続,一走打順,一走氏名,二走打順,二走氏名,三走打順,三走氏名,打順,打者氏名,打席左右,作戦,作戦2,作戦結果,投手氏名,投手左右,球数,捕手,一走状況,二走状況,三走状況,打者状況,プレイの種類,構え,コースX,コースY,球種,打撃結果,打撃結果2,捕球選手,打球タイプ,打球強度,打球位置X,打球位置Y,牽制の種類,牽制詳細,エラーの種類,タイムの種類,球速,プレス,偽走,打者位置,打席Id,打席結果,Result_col,打者登録名,打者番号,一走登録名,一走番号,二走登録名,二走番号,三走登録名,三走番号,投手番号,入力項目,先攻打順,後攻打順,経過時間,H_top,H_bottom,K_top,K_bottom,B_top,B_bottom,top_1_player,top_1_position,top_1_position_2,bottom_1_player,bottom_1_position,bottom_1_position_2,top_2_player,top_2_position,top_2_position_2,bottom_2_player,bottom_2_position,bottom_2_position_2,top_3_player,top_3_position,top_3_position_2,bottom_3_player,bottom_3_position,bottom_3_position_2,top_4_player,top_4_position,top_4_position_2,bottom_4_player,bottom_4_position,bottom_4_position_2,top_5_player,top_5_position,top_5_position_2,bottom_5_player,bottom_5_position,bottom_5_position_2,top_6_player,top_6_position,top_6_position_2,bottom_6_player,bottom_6_position,bottom_6_position_2,top_7_player,top_7_position,top_7_position_2,bottom_7_player,bottom_7_position,bottom_7_position_2,top_8_player,top_8_position,top_8_position_2,bottom_8_player,bottom_8_position,bottom_8_position_2,top_9_player,top_9_position,top_9_position_2,bottom_9_player,bottom_9_position,bottom_9_position_2,top_P_player,bottom_P_player,Score_Top_1,Score_Bottom_1,PA_1,Ave_1,Max_1,Usage_1,Strike_1,Score_Top_2,Score_Bottom_2,PA_2,Ave_2,Max_2,Usage_2,Strike_2,Score_Top_3,Score_Bottom_3,PA_3,Ave_3,Max_3,Usage_3,Strike_3,Score_Top_4,Score_Bottom_4,PA_4,Ave_4,Max_4,Usage_4,Strike_4,Score_Top_5,Score_Bottom_5,PA_5,Ave_5,Max_5,Usage_5,Strike_5,Score_Top_6,Score_Bottom_6,PA_6,Ave_6,Max_6,Usage_6,Strike_6,Score_Top_7,Score_Bottom_7,PA_7,Ave_7,Max_7,Usage_7,Strike_7,Score_Top_8,Score_Bottom_8,PA_8,Ave_8,Max_8,Usage_8,Strike_8,Score_Top_9,Score_Bottom_9,PA_9,Ave_9,Max_9,Usage_9,Strike_9,Score_Top_10,Score_Bottom_10,PA_10,Ave_10,Max_10,Usage_10,Strike_10,Score_Top_11,Score_Bottom_11,PA_11,Ave_11,Max_11,Usage_11,Strike_11,Score_Top_12,Score_Bottom_12,PA_12,Ave_12,Max_12,Usage_12,Strike_12,PA_All,Ave_All,Max_All,Usage_All,Strike_All
2025/6/22,春季,オープン戦,,,,,岩瀬日大,筑波大学,1,1,表,0,0,0,0,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,1,川瀬太揮,左,0,0,0,齋藤理聖,左,1,佐谷慎之助,0,0,0,継続,投球,17,42.282,227.07,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,124,0,0,8,2.03E+20,0,black,川瀬,60,0,0,0,0,0,0, ,0,1,1,0:00,0,0,0,0,0,0,"['川瀬', '太揮', '60.0', 'L']",CF,8,"['草間', '大斗', ' ', ' ']",2B,4,"['松本', '龍之辰', '42.0', 'R']",SS,6,"['粟野', '瀧汰', ' ', ' ']",LF,7,"['森', '球道', '34.0', 'L']",LF,7,"['飯島', '彗多', ' ', ' ']",SS,6,"['山本', '和希', '91.0', 'R']",3B,5,"['佐谷', '慎之助', ' ', ' ']",C,2,"['加藤', '晴丈', '111.0', 'R']",RF,9,"['土田', '陸翔', ' ', ' ']",CF,8,"['清水', '大賀', '28.0', 'L']",DH,D,"['堤', '勇磨', ' ', ' ']",RF,9,"['石橋', '聡汰', '128.0', 'L']",1B,3,"['植木', '大斗', ' ', ' ']",DH,D,"['佐藤', '大輝', '33.0', 'R']",2B,4,"['袖山', '穣', ' ', ' ']",1B,3,"['星', '勇輝', '39.0', 'R']",2B,4,"['鈴木', '悠馬', ' ', ' ']",3B,5,"['浅井', '吾郎', '56.0', 'R']","['齋藤', '理聖', ' ', ' ']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/6/22,春季,オープン戦,,,,,岩瀬日大,筑波大学,2,1,表,0,0,0,1,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,1,川瀬太揮,左,0,0,0,齋藤理聖,左,2,佐谷慎之助,0,0,0,継続,投球,17,219.762,43.848,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,127,0,0,8,0,0,black,川瀬,60,0,0,0,0,0,0, ,0,1,1,0:00,0,0,0,0,0,0,"['川瀬', '太揮', '60.0', 'L']",CF,8,"['草間', '大斗', ' ', ' ']",2B,4,"['松本', '龍之辰', '42.0', 'R']",SS,6,"['粟野', '瀧汰', ' ', ' ']",LF,7,"['森', '球道', '34.0', 'L']",LF,7,"['飯島', '彗多', ' ', ' ']",SS,6,"['山本', '和希', '91.0', 'R']",3B,5,"['佐谷', '慎之助', ' ', ' ']",C,2,"['加藤', '晴丈', '111.0', 'R']",RF,9,"['土田', '陸翔', ' ', ' ']",CF,8,"['清水', '大賀', '28.0', 'L']",DH,D,"['堤', '勇磨', ' ', ' ']",RF,9,"['石橋', '聡汰', '128.0', 'L']",1B,3,"['植木', '大斗', ' ', ' ']",DH,D,"['佐藤', '大輝', '33.0', 'R']",2B,4,"['袖山', '穣', ' ', ' ']",1B,3,"['星', '勇輝', '39.0', 'R']",2B,4,"['鈴木', '悠馬', ' ', ' ']",3B,5,"['浅井', '吾郎', '56.0', 'R']","['齋藤', '理聖', ' ', ' ']",0,0,1,124,124,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,124,124,100,0
2025/6/22,春季,オープン戦,,,,,岩瀬日大,筑波大学,3,1,表,0,0,0,2,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,1,川瀬太揮,左,0,0,0,齋藤理聖,左,3,佐谷慎之助,0,0,0,継続,投球,17,96.048,167.562,ストレート,ファール,0,0,0,0,116.2636364,248.1872727,0,0,0,0,128,0,0,8,0,0,black,川瀬,60,0,0,0,0,0,0, ,ファール,1,1,0:00,0,0,0,0,0,0,"['川瀬', '太揮', '60.0', 'L']",CF,8,"['草間', '大斗', ' ', ' ']",2B,4,"['松本', '龍之辰', '42.0', 'R']",SS,6,"['粟野', '瀧汰', ' ', ' ']",LF,7,"['森', '球道', '34.0', 'L']",LF,7,"['飯島', '彗多', ' ', ' ']",SS,6,"['山本', '和希', '91.0', 'R']",3B,5,"['佐谷', '慎之助', ' ', ' ']",C,2,"['加藤', '晴丈', '111.0', 'R']",RF,9,"['土田', '陸翔', ' ', ' ']",CF,8,"['清水', '大賀', '28.0', 'L']",DH,D,"['堤', '勇磨', ' ', ' ']",RF,9,"['石橋', '聡汰', '128.0', 'L']",1B,3,"['植木', '大斗', ' ', ' ']",DH,D,"['佐藤', '大輝', '33.0', 'R']",2B,4,"['袖山', '穣', ' ', ' ']",1B,3,"['星', '勇輝', '39.0', 'R']",2B,4,"['鈴木', '悠馬', ' ', ' ']",3B,5,"['浅井', '吾郎', '56.0', 'R']","['齋藤', '理聖', ' ', ' ']",0,0,2,126,127,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,126,127,100,0
2025/6/22,春季,オープン戦,,,,,岩瀬日大,筑波大学,4,1,表,0,0,1,2,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,1,川瀬太揮,左,0,0,0,齋藤理聖,左,4,佐谷慎之助,0,0,0,継続,投球,19,183.222,166.518,ストレート,見逃し,0,0,0,0,0,0,0,0,0,0,128,0,0,8,0,0,black,川瀬,60,0,0,0,0,0,0, ,0,1,1,0:00,0,0,0,0,0,0,"['川瀬', '太揮', '60.0', 'L']",CF,8,"['草間', '大斗', ' ', ' ']",2B,4,"['松本', '龍之辰', '42.0', 'R']",SS,6,"['粟野', '瀧汰', ' ', ' ']",LF,7,"['森', '球道', '34.0', 'L']",LF,7,"['飯島', '彗多', ' ', ' ']",SS,6,"['山本', '和希', '91.0', 'R']",3B,5,"['佐谷', '慎之助', ' ', ' ']",C,2,"['加藤', '晴丈', '111.0', 'R']",RF,9,"['土田', '陸翔', ' ', ' ']",CF,8,"['清水', '大賀', '28.0', 'L']",DH,D,"['堤', '勇磨', ' ', ' ']",RF,9,"['石橋', '聡汰', '128.0', 'L']",1B,3,"['植木', '大斗', ' ', ' ']",DH,D,"['佐藤', '大輝', '33.0', 'R']",2B,4,"['袖山', '穣', ' ', ' ']",1B,3,"['星', '勇輝', '39.0', 'R']",2B,4,"['鈴木', '悠馬', ' ', ' ']",3B,5,"['浅井', '吾郎', '56.0', 'R']","['齋藤', '理聖', ' ', ' ']",0,0,3,126,128,100,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,126,128,100,33
2025/6/22,春季,オープン戦,,,,,岩瀬日大,筑波大学,5,1,表,0,0,2,2,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,1,川瀬太揮,左,0,0,0,齋藤理聖,左,5,佐谷慎之助,0,0,0,継続,投球,17,89.784,102.312,チェンジ,ファール,0,0,0,0,81.14727273,196.4618182,0,0,0,0,117,0,0,8,0,0,black,川瀬,60,0,0,0,0,0,0, ,ファール,1,1,0:00,0,0,0,0,0,0,"['川瀬', '太揮', '60.0', 'L']",CF,8,"['草間', '大斗', ' ', ' ']",2B,4,"['松本', '龍之辰', '42.0', 'R']",SS,6,"['粟野', '瀧汰', ' ', ' ']",LF,7,"['森', '球道', '34.0', 'L']",LF,7,"['飯島', '彗多', ' ', ' ']",SS,6,"['山本', '和希', '91.0', 'R']",3B,5,"['佐谷', '慎之助', ' ', ' ']",C,2,"['加藤', '晴丈', '111.0', 'R']",RF,9,"['土田', '陸翔', ' ', ' ']",CF,8,"['清水', '大賀', '28.0', 'L']",DH,D,"['堤', '勇磨', ' ', ' ']",RF,9,"['石橋', '聡汰', '128.0', 'L']",1B,3,"['植木', '大斗', ' ', ' ']",DH,D,"['佐藤', '大輝', '33.0', 'R']",2B,4,"['袖山', '穣', ' ', ' ']",1B,3,"['星', '勇輝', '39.0', 'R']",2B,4,"['鈴木', '悠馬', ' ', ' ']",3B,5,"['浅井', '吾郎', '56.0', 'R']","['齋藤', '理聖', ' ', ' ']",0,0,4,127,128,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,127,128,100,50
2025/6/22,春季,オープン戦,,,,,岩瀬日大,筑波大学,6,1,表,0,0,2,2,0,打席完了,イニング継続,試合継続,0,0,0,0,0,0,1,川瀬太揮,左,0,0,0,齋藤理聖,左,6,佐谷慎之助,0,0,0,アウト,投球,19,97.092,131.022,ストレート,凡打死,0,7,フライ,C,66.91090909,122.4327273,0,0,0,0,128,0,0,8,0,7フライ,black,川瀬,60,0,0,0,0,0,0, ,0,1,1,0:00,0,0,0,0,0,0,"['川瀬', '太揮', '60.0', 'L']",CF,8,"['草間', '大斗', ' ', ' ']",2B,4,"['松本', '龍之辰', '42.0', 'R']",SS,6,"['粟野', '瀧汰', ' ', ' ']",LF,7,"['森', '球道', '34.0', 'L']",LF,7,"['飯島', '彗多', ' ', ' ']",SS,6,"['山本', '和希', '91.0', 'R']",3B,5,"['佐谷', '慎之助', ' ', ' ']",C,2,"['加藤', '晴丈', '111.0', 'R']",RF,9,"['土田', '陸翔', ' ', ' ']",CF,8,"['清水', '大賀', '28.0', 'L']",DH,D,"['堤', '勇磨', ' ', ' ']",RF,9,"['石橋', '聡汰', '128.0', 'L']",1B,3,"['植木', '大斗', ' ', ' ']",DH,D,"['佐藤', '大輝', '33.0', 'R']",2B,4,"['袖山', '穣', ' ', ' ']",1B,3,"['星', '勇輝', '39.0', 'R']",2B,4,"['鈴木', '悠馬', ' ', ' ']",3B,5,"['浅井', '吾郎', '56.0', 'R']","['齋藤', '理聖', ' ', ' ']",0,0,5,127,128,80,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,127,128,80,60
2025/6/22,春季,オープン戦,,,,,岩瀬日大,筑波大学,7,1,表,0,0,0,0,1,打席完了,イニング継続,試合継続,0,0,0,0,0,0,2,松本龍之辰,右,0,0,0,齋藤理聖,左,7,佐谷慎之助,0,0,0,出塁,投球,19,105.966,87.174,ストレート,単打,0,7,ライナー,B,63.58909091,124.8054545,0,0,0,0,125,0,0,6,0,7安打,red,松本,42,0,0,0,0,0,0, ,0,2,1,0:00,0,0,0,0,0,0,"['川瀬', '太揮', '60.0', 'L']",CF,8,"['草間', '大斗', ' ', ' ']",2B,4,"['松本', '龍之辰', '42.0', 'R']",SS,6,"['粟野', '瀧汰', ' ', ' ']",LF,7,"['森', '球道', '34.0', 'L']",LF,7,"['飯島', '彗多', ' ', ' ']",SS,6,"['山本', '和希', '91.0', 'R']",3B,5,"['佐谷', '慎之助', ' ', ' ']",C,2,"['加藤', '晴丈', '111.0', 'R']",RF,9,"['土田', '陸翔', ' ', ' ']",CF,8,"['清水', '大賀', '28.0', 'L']",DH,D,"['堤', '勇磨', ' ', ' ']",RF,9,"['石橋', '聡汰', '128.0', 'L']",1B,3,"['植木', '大斗', ' ', ' ']",DH,D,"['佐藤', '大輝', '33.0', 'R']",2B,4,"['袖山', '穣', ' ', ' ']",1B,3,"['星', '勇輝', '39.0', 'R']",2B,4,"['鈴木', '悠馬', ' ', ' ']",3B,5,"['浅井', '吾郎', '56.0', 'R']","['齋藤', '理聖', ' ', ' ']",0,0,6,127,128,83,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,127,128,83,67
2025/6/22,春季,オープン戦,,,,,岩瀬日大,筑波大学,8,1,表,0,0,0,0,1,打席継続,イニング継続,試合継続,2,松本龍之辰,0,0,0,0,3,森球道,左,0,0,0,齋藤理聖,左,8,佐谷慎之助,継続,0,0,継続,投球,17,95.526,219.24,スライダー,ボール,0,0,0,0,0,0,0,0,0,0,108,0,0,7,0,0,black,森,34,松本,42,0,0,0,0, ,0,3,1,0:00,1,0,0,0,0,0,"['川瀬', '太揮', '60.0', 'L']",CF,8,"['草間', '大斗', ' ', ' ']",2B,4,"['松本', '龍之辰', '42.0', 'R']",SS,6,"['粟野', '瀧汰', ' ', ' ']",LF,7,"['森', '球道', '34.0', 'L']",LF,7,"['飯島', '彗多', ' ', ' ']",SS,6,"['山本', '和希', '91.0', 'R']",3B,5,"['佐谷', '慎之助', ' ', ' ']",C,2,"['加藤', '晴丈', '111.0', 'R']",RF,9,"['土田', '陸翔', ' ', ' ']",CF,8,"['清水', '大賀', '28.0', 'L']",DH,D,"['堤', '勇磨', ' ', ' ']",RF,9,"['石橋', '聡汰', '128.0', 'L']",1B,3,"['植木', '大斗', ' ', ' ']",DH,D,"['佐藤', '大輝', '33.0', 'R']",2B,4,"['袖山', '穣', ' ', ' ']",1B,3,"['星', '勇輝', '39.0', 'R']",2B,4,"['鈴木', '悠馬', ' ', ' ']",3B,5,"['浅井', '吾郎', '56.0', 'R']","['齋藤', '理聖', ' ', ' ']",0,0,7,127,128,86,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,127,128,86,71
2025/6/22,春季,オープン戦,,,,,岩瀬日大,筑波大学,9,1,表,0,0,0,1,1,打席完了,イニング継続,試合継続,2,松本龍之辰,0,0,0,0,3,森球道,左,0,0,0,齋藤理聖,左,9,佐谷慎之助,封殺,0,0,アウト,投球,17,86.652,170.172,ストレート,凡打死,0,6,ゴロ,B,105.8236364,138.5672727,0,0,0,0,128,0,0,7,0,6ゴロ,black,森,34,松本,42,0,0,0,0, ,0,3,1,0:00,1,0,0,0,0,0,"['川瀬', '太揮', '60.0', 'L']",CF,8,"['草間', '大斗', ' ', ' ']",2B,4,"['松本', '龍之辰', '42.0', 'R']",SS,6,"['粟野', '瀧汰', ' ', ' ']",LF,7,"['森', '球道', '34.0', 'L']",LF,7,"['飯島', '彗多', ' ', ' ']",SS,6,"['山本', '和希', '91.0', 'R']",3B,5,"['佐谷', '慎之助', ' ', ' ']",C,2,"['加藤', '晴丈', '111.0', 'R']",RF,9,"['土田', '陸翔', ' ', ' ']",CF,8,"['清水', '大賀', '28.0', 'L']",DH,D,"['堤', '勇磨', ' ', ' ']",RF,9,"['石橋', '聡汰', '128.0', 'L']",1B,3,"['植木', '大斗', ' ', ' ']",DH,D,"['佐藤', '大輝', '33.0', 'R']",2B,4,"['袖山', '穣', ' ', ' ']",1B,3,"['星', '勇輝', '39.0', 'R']",2B,4,"['鈴木', '悠馬', ' ', ' ']",3B,5,"['浅井', '吾郎', '56.0', 'R']","['齋藤', '理聖', ' ', ' ']",0,0,8,127,128,75,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,127,128,75,62
2025/6/22,春季,オープン戦,,,,,岩瀬日大,筑波大学,10,1,裏,0,0,0,0,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,1,草間大斗,左,0,0,0,浅井吾郎,右,1,0,0,0,0,継続,投球,19,226.026,37.062,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,128,0,0,4,0,0,black,草間, ,0,0,0,0,0,0,56,0,4,1,0:00,1,0,0,0,0,0,"['川瀬', '太揮', '60.0', 'L']",CF,8,"['草間', '大斗', ' ', ' ']",2B,4,"['松本', '龍之辰', '42.0', 'R']",SS,6,"['粟野', '瀧汰', ' ', ' ']",LF,7,"['森', '球道', '34.0', 'L']",LF,7,"['飯島', '彗多', ' ', ' ']",SS,6,"['山本', '和希', '91.0', 'R']",3B,5,"['佐谷', '慎之助', ' ', ' ']",C,2,"['加藤', '晴丈', '111.0', 'R']",RF,9,"['土田', '陸翔', ' ', ' ']",CF,8,"['清水', '大賀', '28.0', 'L']",DH,D,"['堤', '勇磨', ' ', ' ']",RF,9,"['石橋', '聡汰', '128.0', 'L']",1B,3,"['植木', '大斗', ' ', ' ']",DH,D,"['佐藤', '大輝', '33.0', 'R']",2B,4,"['袖山', '穣', ' ', ' ']",1B,3,"['星', '勇輝', '39.0', 'R']",2B,4,"['鈴木', '悠馬', ' ', ' ']",3B,5,"['浅井', '吾郎', '56.0', 'R']","['齋藤', '理聖', ' ', ' ']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
